date,1. open,2. high,3. low,4. close,5. volume,5. change in price
2020-11-25 18:56:00,575.26,575.4,575.26,575.26,1600.0,0.0
2020-11-25 18:55:00,575.11,575.25,575.11,575.25,1574.0,0.13999999999998636
2020-11-25 18:54:00,575.26,575.26,575.15,575.15,2106.0,-0.11000000000001364
2020-11-25 18:53:00,575.25,575.26,575.25,575.25,1004.0,0.0
2020-11-25 18:52:00,575.17,575.2,575.15,575.2,2531.0,0.030000000000086402
2020-11-25 18:51:00,575.0,575.2,574.98,575.2,5651.0,0.20000000000004547
2020-11-25 18:50:00,574.95,575.1,574.84,575.08,8651.0,0.12999999999999545
2020-11-25 18:49:00,574.76,574.84,574.75,574.75,1778.0,-0.009999999999990905
2020-11-25 18:48:00,574.8,574.88,574.8,574.88,848.0,0.08000000000004093
2020-11-25 18:47:00,574.76,574.76,574.75,574.75,961.0,-0.009999999999990905
2020-11-25 18:46:00,574.7,574.8,574.7,574.75,6549.0,0.049999999999954525
2020-11-25 18:45:00,574.7,574.7,574.7,574.7,848.0,0.0
2020-11-25 18:44:00,574.61,574.79,574.61,574.79,1344.0,0.17999999999994998
2020-11-25 18:43:00,574.55,574.78,574.55,574.55,1253.0,0.0
2020-11-25 18:42:00,574.8,574.8,574.57,574.57,711.0,-0.2299999999999045
2020-11-25 18:41:00,574.45,574.5,574.43,574.5,833.0,0.049999999999954525
2020-11-25 18:40:00,574.6,574.6,574.5,574.5,2014.0,-0.10000000000002274
2020-11-25 18:39:00,574.75,574.75,574.7,574.7,1276.0,-0.049999999999954525
2020-11-25 18:38:00,574.55,574.62,574.55,574.55,1256.0,0.0
2020-11-25 18:37:00,574.5,574.5,574.5,574.5,1156.0,0.0
2020-11-25 18:36:00,574.25,574.25,574.2,574.2,857.0,-0.049999999999954525
2020-11-25 18:35:00,574.4,574.47,574.3,574.47,1310.0,0.07000000000005002
2020-11-25 18:34:00,574.5,574.5,574.26,574.31,3134.0,-0.19000000000005457
2020-11-25 18:33:00,574.81,574.81,574.5,574.5,2967.0,-0.30999999999994543
2020-11-25 18:32:00,574.8,574.88,574.78,574.8101,1531.0,0.01010000000007949
2020-11-25 18:31:00,574.66,574.83,574.66,574.83,612.0,0.17000000000007276
2020-11-25 18:30:00,574.85,574.88,574.85,574.88,2419.0,0.029999999999972715
2020-11-25 18:29:00,574.78,575.0,574.7,574.7,734.0,-0.07999999999992724
2020-11-25 18:28:00,574.78,575.08,574.42,574.65,14099.0,-0.12999999999999545
2020-11-25 18:27:00,574.5,574.75,574.22,574.75,4065.0,0.25
2020-11-25 18:26:00,574.52,574.68,574.52,574.68,1124.0,0.15999999999996817
2020-11-25 18:25:00,574.33,574.5,574.33,574.5,1603.0,0.16999999999995907
2020-11-25 18:24:00,574.17,574.18,574.17,574.18,1075.0,0.009999999999990905
2020-11-25 18:23:00,574.22,574.35,574.17,574.18,1277.0,-0.04000000000007731
2020-11-25 18:22:00,574.22,574.22,574.21,574.21,386.0,-0.009999999999990905
2020-11-25 18:20:00,574.4,574.4,574.2,574.2,1761.0,-0.1999999999999318
2020-11-25 18:19:00,574.45,574.45,574.45,574.45,577.0,0.0
2020-11-25 18:18:00,574.51,574.51,574.4,574.4,770.0,-0.11000000000001364
2020-11-25 18:17:00,574.3,574.6,574.3,574.6,1415.0,0.3000000000000682
2020-11-25 18:16:00,574.4,574.4,574.21,574.21,913.0,-0.18999999999994088
2020-11-25 18:15:00,574.29,574.4,574.29,574.4,2714.0,0.11000000000001364
2020-11-25 18:14:00,574.35,574.39,574.3,574.3,1285.0,-0.05000000000006821
2020-11-25 18:13:00,574.4,574.5,574.3,574.39,6220.0,-0.009999999999990905
2020-11-25 18:12:00,574.25,574.4,574.25,574.4,3779.0,0.14999999999997726
2020-11-25 18:11:00,574.16,574.16,574.15,574.15,510.0,-0.009999999999990905
2020-11-25 18:09:00,574.0,574.15,574.0,574.15,1529.0,0.14999999999997726
2020-11-25 18:08:00,573.92,573.92,573.92,573.92,728.0,0.0
2020-11-25 18:07:00,573.91,573.92,573.81,573.81,1310.0,-0.10000000000002274
2020-11-25 18:06:00,573.98,574.2,573.93,573.93,3982.0,-0.05000000000006821
2020-11-25 18:05:00,573.9,573.95,573.9,573.9,812.0,0.0
2020-11-25 18:04:00,573.99,573.99,573.91,573.99,1848.0,0.0
2020-11-25 18:03:00,574.0601,574.0601,574.05,574.05,633.0,-0.01010000000007949
2020-11-25 18:02:00,574.2,574.25,574.2,574.23,1421.0,0.029999999999972715
2020-11-25 18:01:00,573.6,574.2,573.6,574.2,6956.0,0.6000000000000227
2020-11-25 18:00:00,573.77,573.77,573.65,573.65,1201.0,-0.12000000000000455
2020-11-25 17:59:00,573.68,573.82,573.66,573.66,1360.0,-0.01999999999998181
2020-11-25 17:58:00,573.8,573.8,573.8,573.8,857.0,0.0
2020-11-25 17:57:00,573.86,573.86,573.82,573.82,2088.0,-0.03999999999996362
2020-11-25 17:55:00,573.62,573.83,573.62,573.83,1320.0,0.21000000000003638
2020-11-25 17:54:00,573.5,573.81,573.0,573.81,2539.0,0.30999999999994543
2020-11-25 17:53:00,573.78,573.78,573.62,573.62,1682.0,-0.15999999999996817
2020-11-25 17:52:00,573.76,573.96,573.7,573.78,4973.0,0.01999999999998181
2020-11-25 17:50:00,574.0,574.0,574.0,574.0,884.0,0.0
2020-11-25 17:48:00,574.0,574.0,573.85,573.85,1327.0,-0.14999999999997726
2020-11-25 17:47:00,573.99,574.2,573.99,574.0,3342.0,0.009999999999990905
2020-11-25 17:46:00,573.93,573.99,573.7201,573.99,3262.0,0.06000000000005912
2020-11-25 17:45:00,573.93,573.93,573.9,573.9,2197.0,-0.029999999999972715
2020-11-25 17:44:00,573.9,573.9,573.9,573.9,533.0,0.0
2020-11-25 17:43:00,573.67,573.87,573.67,573.87,916.0,0.20000000000004547
2020-11-25 17:42:00,573.66,573.88,573.66,573.88,1680.0,0.22000000000002728
2020-11-25 17:40:00,573.8,573.8,573.8,573.8,524.0,0.0
2020-11-25 17:39:00,573.61,573.8,573.61,573.8,1004.0,0.18999999999994088
2020-11-25 17:38:00,573.65,573.8,573.65,573.8,1068.0,0.14999999999997726
2020-11-25 17:37:00,573.7,573.7,573.7,573.7,1618.0,0.0
2020-11-25 17:36:00,573.86,573.86,573.75,573.75,1130.0,-0.11000000000001364
2020-11-25 17:35:00,573.77,573.77,573.76,573.76,861.0,-0.009999999999990905
2020-11-25 17:34:00,573.81,573.82,573.79,573.79,3301.0,-0.01999999999998181
2020-11-25 17:33:00,573.81,573.81,573.8,573.8,1163.0,-0.009999999999990905
2020-11-25 17:32:00,573.84,573.84,573.84,573.84,587.0,0.0
2020-11-25 17:30:00,573.83,573.83,573.83,573.83,715.0,0.0
2020-11-25 17:29:00,573.71,573.71,573.7,573.7,891.0,-0.009999999999990905
2020-11-25 17:28:00,573.84,573.84,573.84,573.84,697.0,0.0
2020-11-25 17:27:00,573.82,573.89,573.75,573.84,1613.0,0.01999999999998181
2020-11-25 17:26:00,574.0,574.0,573.9,573.9,146761.0,-0.10000000000002274
2020-11-25 17:25:00,574.25,574.25,574.25,574.25,574.0,0.0
2020-11-25 17:24:00,574.2,574.38,574.2,574.38,2659.0,0.17999999999994998
2020-11-25 17:23:00,574.25,574.31,574.01,574.01,1277.0,-0.2400000000000091
2020-11-25 17:22:00,574.2,574.3,574.2,574.3,1590.0,0.09999999999990905
2020-11-25 17:20:00,573.8,573.83,573.8,573.83,931.0,0.030000000000086402
2020-11-25 17:19:00,573.84,574.0,573.84,574.0,1122.0,0.15999999999996817
2020-11-25 17:18:00,574.01,574.01,573.75,573.75,2238.0,-0.2599999999999909
2020-11-25 17:17:00,574.25,574.25,574.15,574.15,1075.0,-0.10000000000002274
2020-11-25 17:16:00,574.1,574.5,574.0,574.0,8597.0,-0.10000000000002274
2020-11-25 17:15:00,573.9001,574.16,573.9001,574.02,1677.0,0.11990000000002965
2020-11-25 17:14:00,573.76,574.0,573.76,574.0,3922.0,0.2400000000000091
2020-11-25 17:13:00,573.86,573.86,573.8598,573.8598,1250.0,-0.00020000000006348273
2020-11-25 17:12:00,574.17,574.3,573.72,573.72,14263.0,-0.4499999999999318
2020-11-25 17:10:00,574.26,574.28,574.0,574.28,4616.0,0.01999999999998181
2020-11-25 17:09:00,574.26,574.26,574.26,574.26,693.0,0.0
2020-11-25 17:08:00,574.5,574.5,574.5,574.5,1402.0,0.0
2020-11-25 17:07:00,574.5,574.5,574.3,574.4899,1821.0,-0.010099999999965803
2020-11-25 17:06:00,574.62,574.69,574.5,574.69,2929.0,0.07000000000005002
2020-11-25 17:05:00,574.65,574.65,574.47,574.51,4944.0,-0.13999999999998636
2020-11-25 17:04:00,574.75,574.75,574.7,574.7,3648.0,-0.049999999999954525
2020-11-25 17:03:00,574.81,574.88,574.14,574.88,16180.0,0.07000000000005002
2020-11-25 17:02:00,574.99,575.0,574.88,574.88,3552.0,-0.11000000000001364
2020-11-25 17:01:00,575.0,575.15,574.8,574.8,1290.0,-0.20000000000004547
2020-11-25 17:00:00,575.13,575.13,575.0,575.0,1719.0,-0.12999999999999545
2020-11-25 16:59:00,575.2,575.3,575.2,575.2001,1676.0,9.999999997489795e-05
2020-11-25 16:58:00,575.02,575.19,575.02,575.19,1341.0,0.17000000000007276
2020-11-25 16:57:00,574.7,575.25,574.7,574.8,2575.0,0.09999999999990905
2020-11-25 16:56:00,575.5,575.5,575.0,575.0,3582.0,-0.5
2020-11-25 16:55:00,575.5,575.6,575.22,575.24,3656.0,-0.2599999999999909
2020-11-25 16:54:00,575.578,575.578,575.5,575.5,1492.0,-0.07799999999997453
2020-11-25 16:53:00,575.8,575.8,575.4,575.4,5881.0,-0.39999999999997726
2020-11-25 16:52:00,575.8,575.9,575.7,575.9,4811.0,0.10000000000002274
2020-11-25 16:51:00,575.78,575.99,575.6,575.9,5899.0,0.12000000000000455
2020-11-25 16:50:00,575.45,575.6,575.4,575.6,6091.0,0.14999999999997726
2020-11-25 16:49:00,574.75,575.41,574.75,575.41,6969.0,0.6599999999999682
2020-11-25 16:47:00,574.98,574.99,574.95,574.99,6563.0,0.009999999999990905
